model,test,seed,field,n,threshold,nb_only,nn_only,nb_nn_mixed,no_nb_nn,nb_only_pct,nn_only_pct,nb_nn_mixed_pct,no_nb_nn_pct,mean_nb,mean_nn,mean_nb_minus_nn,mean_da,mean_sv,mean_other
original,original,42,prediction,1742,0.5,1378,242,104,18,0.7910447761194029,0.13892078071182548,0.05970149253731343,0.010332950631458095,0.8458278580241538,0.19933963165233615,0.6464882263718177,0.01800538139484362,0.008462255004609526,0.006624496299363128
original,original,42,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
original,original,123,prediction,1742,0.5,1374,251,102,15,0.7887485648679678,0.14408725602755454,0.05855338691159587,0.008610792192881744,0.8417923747059556,0.20373952790594685,0.6380528468000087,0.01891541420775894,0.00708920052264369,0.006648831100533238
original,original,123,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
original,original,456,prediction,1742,0.5,1377,244,102,19,0.7904707233065442,0.14006888633754305,0.05855338691159587,0.010907003444316877,0.8441724644627606,0.20083375073936016,0.6433387137234005,0.01877890595224288,0.007918264502318948,0.006642309345327721
original,original,456,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
original,bokmal,42,prediction,1313,0.5,1250,44,15,4,0.952018278750952,0.03351104341203351,0.011424219345011425,0.0030464584920030465,0.9604599044449175,0.052163982483243956,0.9082959219616735,0.008075515227928176,0.002143302893599612,0.0028643008325158876
original,bokmal,42,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
original,bokmal,123,prediction,1313,0.5,1245,51,13,4,0.9482102056359482,0.03884234577303884,0.009900990099009901,0.0030464584920030465,0.9551442258455817,0.05611806311911824,0.8990261627264634,0.008468201890203694,0.0021591645942557196,0.0028650198905242857
original,bokmal,123,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
original,bokmal,456,prediction,1313,0.5,1250,45,13,5,0.952018278750952,0.03427265803503427,0.009900990099009901,0.003808073115003808,0.9591792597030244,0.0525507000427901,0.9066285596602344,0.008199699470922826,0.0021768831953960528,0.002856318755736212
original,bokmal,456,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
original,flores_nob,42,prediction,1012,0.5,984,5,10,13,0.9723320158102767,0.004940711462450593,0.009881422924901186,0.012845849802371542,0.981359249023831,0.01571957163326336,0.9656396773905677,0.014390627384848278,0.0017351714604201297,0.000871332592953557
original,flores_nob,42,reference,1012,0.5,1007,1,4,0,0.9950592885375494,0.0009881422924901185,0.003952569169960474,0.0,0.9978331201781704,0.007094928769385495,0.9907381914087849,0.0013218497429349047,0.0008334717266313919,0.0008422417731456626
original,flores_nob,123,prediction,1012,0.5,989,2,11,10,0.9772727272727273,0.001976284584980237,0.010869565217391304,0.009881422924901186,0.9850234744986133,0.015436270714618644,0.9695872037839947,0.01354166052543826,0.0010778323676420862,0.0008781729272158707
original,flores_nob,123,reference,1012,0.5,1007,1,4,0,0.9950592885375494,0.0009881422924901185,0.003952569169960474,0.0,0.9978331201781704,0.007094928769385495,0.9907381914087849,0.0013218497429349047,0.0008334717266313919,0.0008422417731456626
original,flores_nob,456,prediction,1012,0.5,984,5,13,10,0.9723320158102767,0.004940711462450593,0.012845849802371542,0.009881422924901186,0.9817662337345286,0.019247637343551643,0.962518596390977,0.013141331368668307,0.0012537368957666274,0.0008480156101408061
original,flores_nob,456,reference,1012,0.5,1007,1,4,0,0.9950592885375494,0.0009881422924901185,0.003952569169960474,0.0,0.9978331201781704,0.007094928769385495,0.9907381914087849,0.0013218497429349047,0.0008334717266313919,0.0008422417731456626
original,flores_nno,42,prediction,1012,0.5,984,5,10,13,0.9723320158102767,0.004940711462450593,0.009881422924901186,0.012845849802371542,0.981359249023831,0.01571957163326336,0.9656396773905677,0.014390627384848278,0.0017351714604201297,0.000871332592953557
original,flores_nno,42,reference,1012,0.5,2,1007,3,0,0.001976284584980237,0.9950592885375494,0.0029644268774703555,0.0,0.006034407033655183,0.997153448739748,-0.9911190417060928,0.000522873138172806,0.0005042827354124959,0.0007663631052421379
original,flores_nno,123,prediction,1012,0.5,989,2,11,10,0.9772727272727273,0.001976284584980237,0.010869565217391304,0.009881422924901186,0.9850234744986133,0.015436270714618644,0.9695872037839947,0.01354166052543826,0.0010778323676420862,0.0008781729272158707
