group,nb_probability_bin,sentences,percentage
all_original,0.9-1.0,10939,78.5
all_original,0.8-0.9,135,0.97
all_original,0.7-0.8,55,0.39
all_original,0.6-0.7,33,0.24
all_original,0.5-0.6,26,0.19
all_original,<0.5,2747,19.71
retained_bokmal,0.9-1.0,10088,99.74
retained_bokmal,0.8-0.9,26,0.26
retained_bokmal,0.7-0.8,0,0.0
retained_bokmal,0.6-0.7,0,0.0
retained_bokmal,0.5-0.6,0,0.0
retained_bokmal,<0.5,0,0.0
removed_by_filter,0.9-1.0,851,22.27
removed_by_filter,0.8-0.9,109,2.85
removed_by_filter,0.7-0.8,55,1.44
removed_by_filter,0.6-0.7,33,0.86
removed_by_filter,0.5-0.6,26,0.68
removed_by_filter,<0.5,2747,71.89
